x,y,z,val
27.17,-21.204,31.253,1
26.61,-22.451,31.308,1
30.841,-22.59,27.18,1
39.266,-19.662,23.931,1
46.092,-16.288,20.04,1
52.049,-14.322,4.377,1
55.198,-10.884,-8.013,1
55.887,-8.784,-17.31,1
50.146,-6.656,-32.94,1
41.89,-4.582,-34.312,1
34.691,-5.315,-27.907,1
29.296,-7.781,-23.08,1
26.28,-9.235,-18.715,1
23.631,-10.097,-14.394,1
22.942,-11.088,-12.071,1
22.566,-12.615,-9.943,1
22.968,-13.106,-5.616,1
25.77,-14.078,-1.452,1
25.633,-15.606,2.852,1
19.774,-17.164,5.909,1
11.21,-18.23,7.688,1
5.356,-18.151,8.907,1
1.365,-19.07,8.109,1
-0.243,-18.41,9.28,1
-2.461,-17.44,11.631,1
-3.866,-15.852,12.369,1
-5.015,-14.076,11.164,1
-6.571,-11.478,6.321,1
-12.476,-5.89,-6.449,1
-11.801,-8.452,-10.917,1
-8.822,-14.109,-13.278,1
1.25,-22.54,-15.074,1
13.48,-29.713,-13.158,1
23.09,-36.917,-9.346,1
33.498,-35.27,-3.09,1
41.641,-30.745,-4.043,1
46.566,-24.077,-2.439,1
47.622,-19.963,-4.371,1
51.163,-17.299,3.766,1
48.154,-16.915,7.001,1
50.115,-13.257,8.521,1
45.424,-11.54,10.657,1
37.741,-8.907,19.123,1
29.974,-5.071,25.25,1
26.361,-1.963,21.877,1
23.078,-2.691,19.877,1
15.51,-6.531,22.827,1
11.301,-8.442,28.504,1
14.899,-8.746,29.067,1
18.002,-11.344,28.583,1
18.524,-15.431,27.036,1
22.207,-19.03,21.204,1
27.019,-21.702,16.142,1
31.408,-24.455,12.019,1
33.994,-28.782,10.772,1
35.126,-34.264,10.097,1
36.714,-39.965,6.9,1
37.31,-44.646,2.385,1
38.507,-45.714,3.984,1
39.422,-47.074,7.192,1
41.407,-48.089,6.541,1
42.616,-48.4,3.871,1
42.652,-46.133,-1.34,1
42.903,-40.138,-4.055,1
42.202,-38.193,-7.869,1
38.002,-33.233,-16.984,1
34.616,-28.262,-21.086,1
31.566,-23.454,-19.481,1
29.517,-21.608,-22.58,1
27.592,-18.316,-26.76,1
25.94,-16.427,-27.617,1
22.212,-14.969,-27.943,1
18.512,-14.157,-25.608,1
15.989,-15.223,-22.972,1
14.734,-16.966,-17.755,1
13.884,-19.626,-14.899,1
9.031,-23.754,-12.933,1
3.476,-25.305,-10.019,1
2.183,-23.785,-6.971,1
7.427,-22.281,-5.219,1
16.635,-23.232,1.585,1
24.232,-25.334,10.839,1
25.418,-25.664,24.3,1
27.709,-21.261,32.081,1
31.461,-17.351,25.257,1
32.964,-15.615,22.296,1
35.165,-16.219,27.97,1
36.364,-14.99,41.203,1
37.674,-13.425,40.885,1
36.795,-16.161,35.366,1
29.201,-18.814,45.144,1
21.364,-17.354,58.179,1
22.133,-18.017,51.736,1
21.692,-18.505,47.048,1
19.348,-17.828,41.804,1
15.201,-18.776,30.345,1
10.018,-17.339,21.328,1
10.947,-12.467,16.176,1
13.195,-11.234,25.09,1
15.646,-12.132,35.229,1
11.028,-17.107,32.071,1
6.282,-21.527,29.857,1
6.249,-21.699,29.469,1
9.055,-21.879,25.018,1
11.097,-23.773,17.253,1
13.255,-24.656,11.995,1
12.4,-24.122,6.646,1
13.738,-22.188,3.165,1
20.066,-18.805,3.812,1
20.847,-19.954,2.157,1
